Component 1,Component 2,Solvent
0,0,300
0,0,300
0,0,300
0,0,300
0,43.2,256.8
1,43.2,256.8
2,71.4,228.6
3,71.4,228.6
4,61.6,238.4
5,61.6,238.4
6,124.2,175.8
7,124.2,175.8
8,96.8,203.2
9,96.8,203.2
10,117.2,182.8
11,117.2,182.8
12,79.2,220.8
13,79.2,220.8
14,107.6,192.4
15,107.6,192.4
16,168.6,131.4
17,168.6,131.4
18,128.8,171.2
19,128.8,171.2
20,151.4,148.6
21,151.4,148.6
22,152.6,147.4
23,152.6,147.4
24,183.4,116.6
25,183.4,116.6
26,82.8,217.2
27,82.8,217.2
28,119.2,180.8
29,119.2,180.8
30,202.2,97.8
31,202.2,97.8
32,260.4,39.6
33,260.4,39.6
34,155.2,144.8
35,155.2,144.8
36,50.6,249.4
37,50.6,249.4
38,58,242
39,58,242
40,146.8,153.2
41,146.8,153.2
42,214.8,85.2
43,214.8,85.2
44,182,118
45,182,118
46,136,164
47,136,164
48,211.6,88.4
49,211.6,88.4
50,268.8,31.2
51,268.8,31.2
52,70,230
53,70,230
54,233.8,66.2
55,233.8,66.2
56,216.6,83.4
57,216.6,83.4
58,163.6,136.4
59,163.6,136.4
60,26.2,273.8
61,26.2,273.8
62,180,120
63,180,120
64,82.2,217.8
65,82.2,217.8
66,262,38
67,262,38
68,172.8,127.2
69,172.8,127.2
70,215.4,84.6
71,215.4,84.6
72,37.6,262.4
73,37.6,262.4
74,150.4,149.6
75,150.4,149.6
76,104.2,195.8
77,104.2,195.8
78,267.8,32.2
79,267.8,32.2
80,197.6,102.4
81,197.6,102.4
82,167.2,132.8
83,167.2,132.8
84,150,150
85,150,150
86,210.2,89.8
87,210.2,89.8
88,264.8,35.2
89,264.8,35.2
90,125.8,174.2
91,125.8,174.2
